Freq,PSD,frecuencia predominante,Tension resultante media
286.55,1.2752E-05,254,27
303.9166667,3.13481E-05,254,27
321.2833333,1.2036E-05,254,27
338.65,2.25761E-05,254,27
356.0166667,3.40423E-05,254,27
373.3833333,1.72642E-05,254,27
390.75,3.53719E-05,254,27
408.1166667,2.24059E-05,254,27
425.4833333,2.82315E-05,254,27
442.85,1.78016E-05,254,27
460.2166667,2.8383E-05,254,27
477.5833333,2.95765E-05,254,27
494.95,2.13238E-05,254,27
512.3166667,2.09344E-05,254,27
8.6833333,7.8893E-05,254,27
26.05,7.23795E-05,254,27
43.4166667,2.72062E-05,254,27
60.7833333,0.000574257,254,27
78.15,2.08819E-05,254,27
95.5166667,8.23601E-06,254,27
112.8833333,1.01862E-05,254,27
130.25,1.33869E-06,254,27
147.6166667,1.85846E-05,254,27
164.9833333,5.36579E-06,254,27
182.35,4.53956E-07,254,27
199.7166667,2.1599E-09,254,27
217.0833333,8.06384E-07,254,27
234.45,5.91249E-08,254,27
251.8166667,6.40933E-07,254,27
269.1833333,8.85869E-07,254,27
286.55,2.51314E-06,254,27
303.9166667,4.27473E-08,254,27
321.2833333,7.80491E-08,254,27
338.65,9.83032E-08,254,27
356.0166667,8.69462E-07,254,27
373.3833333,7.77677E-07,254,27
390.75,2.55568E-06,254,27
408.1166667,1.86579E-07,254,27
425.4833333,1.60103E-06,254,27
442.85,1.85696E-07,254,27
460.2166667,1.33223E-06,254,27
477.5833333,1.20583E-06,254,27
494.95,4.73894E-07,254,27
512.3166667,5.77722E-07,254,27
8.6833333,5.95023E-06,254,27
26.05,2.25703E-05,254,27
43.4166667,3.99731E-05,254,27
60.7833333,5.56809E-05,254,27
78.15,1.83849E-08,254,27
95.5166667,1.96154E-05,254,27
112.8833333,7.90011E-06,254,27
130.25,9.26076E-07,254,27
147.6166667,5.42699E-06,254,27
164.9833333,6.7376E-05,254,27
182.35,1.23134E-07,254,27
199.7166667,9.74901E-08,254,27
217.0833333,5.66235E-07,254,27
234.45,9.0224E-06,254,27
251.8166667,1.10522E-05,254,27
269.1833333,3.21028E-06,254,27
286.55,1.74083E-06,254,27
303.9166667,1.75679E-06,254,27
321.2833333,3.13564E-06,254,27
338.65,1.08643E-06,254,27
356.0166667,8.8636E-08,254,27
373.3833333,1.23936E-06,254,27
390.75,2.03986E-07,254,27
408.1166667,9.46664E-08,254,27
425.4833333,3.43905E-08,254,27
442.85,7.88536E-10,254,27
460.2166667,1.4902E-07,254,27
477.5833333,9.06881E-07,254,27
494.95,3.45212E-07,254,27
512.3166667,1.94581E-07,254,27
8.3833333,0.00135315,30,34
25.15,0.000137304,30,34
41.9166667,6.73405E-07,30,34
58.6833333,8.46916E-07,30,34
75.45,1.38584E-05,30,34
92.2166667,7.05693E-06,30,34
108.9833333,4.05904E-06,30,34
125.75,8.38502E-06,30,34
142.5166667,9.62624E-06,30,34
159.2833333,3.20159E-05,30,34
176.05,3.60154E-05,30,34
192.8166667,4.66285E-05,30,34
209.5833333,4.46916E-05,30,34
226.35,4.82629E-05,30,34
243.1166667,5.01905E-05,30,34
259.8833333,2.84463E-05,30,34
276.65,2.4451E-05,30,34
293.4166667,1.90039E-05,30,34
310.1833333,1.94837E-05,30,34
326.95,2.00155E-05,30,34
343.7166667,2.40414E-05,30,34
360.4833333,2.46334E-05,30,34
377.25,2.673E-05,30,34
394.0166667,2.45185E-05,30,34
410.7833333,2.2847E-05,30,34
427.55,2.82249E-05,30,34
444.3166667,2.816E-05,30,34
461.0833333,2.75705E-05,30,34
477.85,2.92025E-05,30,34
494.6166667,2.92638E-05,30,34
8.3833333,0.000215463,30,34
25.15,5.35259E-06,30,34
41.9166667,1.19432E-06,30,34
58.6833333,5.43602E-05,30,34
75.45,1.77553E-05,30,34
92.2166667,9.87512E-06,30,34
108.9833333,4.66797E-06,30,34
125.75,1.11824E-06,30,34
142.5166667,8.03925E-07,30,34
159.2833333,8.28456E-07,30,34
176.05,9.95683E-07,30,34
192.8166667,1.93569E-07,30,34
209.5833333,1.61764E-07,30,34
226.35,9.44315E-07,30,34
243.1166667,3.94211E-07,30,34
259.8833333,1.69374E-07,30,34
276.65,3.49686E-07,30,34
293.4166667,9.807E-07,30,34
310.1833333,2.65276E-06,30,34
326.95,6.81079E-07,30,34
343.7166667,2.17568E-08,30,34
360.4833333,8.25076E-07,30,34
377.25,1.9612E-06,30,34
394.0166667,1.32098E-06,30,34
410.7833333,8.15423E-07,30,34
427.55,4.29032E-07,30,34
444.3166667,8.56614E-07,30,34
461.0833333,4.49676E-07,30,34
477.85,1.16021E-06,30,34
494.6166667,9.52497E-07,30,34
