media_x_x;media_y_x;cov_xx_x;cov_xy_x;cov_yy_x;peso_x;media_x_y;media_y_y;cov_xx_y;cov_xy_y;cov_yy_y;peso_y;media_x_z;media_y_z;cov_xx_z;cov_xy_z;cov_yy_z;peso_z;nombre_terreno
5,08904E+14;4,93868E+13;1,7915E+16;-2,86154E+14;9840228864;1,21487E+14;1,40626E+16;8,04164E+12;4,20296E+15;-3,08695E+14;14892652872;8,83168E+15;1,52377E+16;1,12654E+12;3,66136E+15;-2,53983E+14;1605541445;7,7352E+15;ripi
1,56416E+16;6,79006E+12;3,20874E+16;-1,60581E+14;12897986884;7,52746E+14;1,81494E+16;8,13843E+13;9,40345E+15;-6,26082E+13;1,92456E+11;1,06429E+15;4,46312E+15;2,88238E+13;4,11805E+15;1,32321E+14;4688023070;1,77059E+15;ripi
5,57279E+15;5,39947E+13;2,63129E+15;-3,26972E+14;1,00228E+11;1,41944E+15;1,6031E+16;9,50927E+13;9,11286E+15;5,94253E+13;28444053237;9,93631E+14;1,68281E+16;1,51348E+13;2,65428E+16;-3,27747E+14;2134559355;6,46407E+15;ripi
1,90057E+16;1,94035E+14;1,3102E+16;1,21875E+13;1,19486E+12;1,3327E+15;5,23619E+15;2,56219E+12;4,76885E+15;-1,31886E+14;32922299516;1,64585E+15;5,65898E+15;9,07813E+13;1,4177E+16;-1,33091E+14;50332210298;2,9571E+14;ripi
1,59615E+16;9,04822E+12;3,03742E+16;-2,14752E+14;14549509468;7,24786E+15;1,57487E+16;8,24E+12;3,24769E+16;-2,36415E+14;1428391689;7,36052E+15;5,30341E+15;3,59651E+13;8,54158E+14;1,27073E+14;6244584921;3,24022E+15;ripi
4,3806E+15;4,84553E+13;1,84496E+16;-2,89118E+14;9613644533;1,27686E+15;1,8042E+16;4,72475E+13;1,22268E+16;-5,6628E+13;5357855834;9,88146E+14;4,02387E+15;7,34367E+13;7,43756E+15;-7,79117E+13;3,86363E+11;1,85659E+14;rotonda
1,417E+16;1,28106E+14;7,4905E+14;2,3766E+14;48268201932;9,78314E+14;1,96897E+16;1,09992E+14;8,26518E+15;1,24812E+13;17493933835;1,92649E+14;1,55409E+15;1,26972E+13;3,41524E+16;-3,5888E+14;1974218479;7,51634E+15;rotonda
1,53846E+15;5,89648E+12;3,33697E+16;-1,45741E+14;12246610156;7,74483E+15;1,40567E+16;7,35674E+12;4,23137E+15;-2,84537E+14;14217919995;8,8192E+15;4,02324E+15;2,80732E+13;5,13813E+15;2,83876E+13;3511706720;2,298E+15;rotonda
4,51248E+15;6,73813E+13;2,14946E+16;-4,21201E+14;1,67943E+11;1,31344E+15;1,53133E+15;1,34809E+14;1,02719E+15;-1,69933E+14;50430312550;4,67588E+14;6,11651E+14;8,61246E+13;1,53186E+16;-1,21203E+14;42398853636;3,76642E+14;via_1
1,54927E+16;9,24627E+12;3,26098E+16;-2,61754E+14;1545298784;7,66053E+15;1,47596E+16;7,62263E+12;3,76362E+15;-2,44258E+14;13708131101;8,23953E+15;1,57016E+16;1,50812E+13;3,2958E+15;-3,76417E+14;217266861,2;7,39918E+15;via_1
1,48743E+16;2,05069E+14;8,66564E+15;1,98143E+14;1,19217E+12;1,02602E+15;2,9446E+16;5,01414E+13;2,6327E+16;-2,81981E+13;8191591791;1,29288E+15;4,37286E+15;3,01352E+13;4,70228E+15;8,85233E+13;4240117422;2,22417E+15;via_1
1,55914E+16;8,53097E+12;3,2112E+15;-1,87167E+14;14034036680;7,57061E+14;1,56266E+16;1,04335E+14;8,47286E+15;1,63066E+14;41408726429;7,34381E+13;4,21686E+14;3,87207E+13;5,40101E+14;1,54186E+14;6541875522;2,24515E+15;via_2
4,8855E+16;6,42364E+13;1,79511E+15;-3,761E+13;1,54595E+11;1,23348E+15;1,55624E+16;8,20197E+12;3,34074E+15;-2,45624E+14;1436896552;7,5232E+15;1,54849E+16;1,61907E+13;3,5003E+16;-3,81457E+14;22570278868;7,5248E+15;via_2
1,69753E+16;1,79345E+13;1,04358E+16;2,9603E+14;94756390312;1,19591E+15;4,51453E+15;3,73115E+13;4,89267E+13;-2,64105E+14;5162727156;1,74242E+15;4,55405E+15;9,31543E+13;8,78027E+15;-1,07811E+14;60220436026;2,30051E+14;via_2
1,5507E+15;6,6042E+12;3,2611E+16;-1,60062E+14;12801825123;7,63292E+15;1,56915E+15;6,87232E+12;3,26736E+16;-1,92773E+14;13045468237;7,40614E+15;2,86042E+15;3,17756E+13;2,90295E+15;-1,33813E+14;4891775128;1,77914E+15;via
1,60108E+16;1,39803E+14;9,34851E+15;2,12575E+14;5,70508E+11;1,13057E+15;4,87262E+15;2,49292E+13;4,96652E+15;-1,61248E+14;30736558334;1,74876E+15;6,84701E+15;6,6349E+13;7,58114E+15;-6,12984E+13;1,6088E+11;5,48395E+14;via
4,75622E+15;5,01738E+13;1,80444E+15;-2,84007E+13;986954549,2;1,23651E+15;1,56292E+16;8,15172E+13;8,69458E+15;1,29339E+14;2,51644E+11;8,45103E+14;1,52769E+16;1,41866E+13;3,62778E+15;-3,13371E+13;1999189951;7,67247E+15;via
1,42374E+15;1,01779E+14;7,60837E+15;1,69042E+14;2,92629E+11;9,89127E+14;2,33055E+15;1,32213E+13;1,72147E+16;-5,33765E+13;71889835021;9,63139E+13;4,0274E+15;2,62466E+13;5,06744E+15;-1,33735E+13;36999113179;2,15502E+15;via
1,5222E+16;4,94652E+12;3,43511E+15;-1,251E+14;11779318217;7,8774E+15;1,40039E+16;5,93643E+12;4,24475E+14;-2,1578E+14;12748002143;8,87185E+15;3,89638E+15;1,02711E+13;6,99882E+15;-1,18013E+14;1,00391E+11;2,12471E+14;via
4,23593E+14;4,07496E+13;1,54061E+16;-2,31215E+14;7412963424;1,13348E+15;1,79949E+16;5,10153E+13;9,00165E+14;-6,35251E+13;7859622832;1,03184E+15;1,5376E+16;1,17805E+13;3,54139E+16;-2,62003E+14;16779779465;7,63251E+15;via
1,55019E+15;5,02841E+11;3,25954E+15;-1,39351E+14;1195749107;7,6405E+15;1,58443E+14;7,41503E+12;9,19533E+15;3,5137E+13;19965404415;7,32992E+14;4,32728E+15;2,56676E+13;6,07813E+15;8,96357E+13;4202961632;2,22329E+15;rip_pend_gran
1,60733E+16;1,2055E+14;9,65845E+15;6,68935E+13;37522608399;1,13444E+15;1,55056E+15;5,05883E+12;3,37112E+16;-1,49291E+14;1195664868;7,56568E+15;3,46344E+15;9,18053E+13;5,76848E+15;-1,01226E+14;5,4039E+11;2,06332E+14;rip_pend_gran
4,73183E+13;4,03694E+13;1,80619E+15;-2,43188E+14;7070908145;1,22506E+15;4,46187E+15;2,1582E+13;4,9414E+16;-1,74826E+14;2874822221;1,70133E+15;1,53718E+16;1,11995E+13;3,62987E+16;-2,63936E+13;16322183318;7,57038E+13;rip_pend_gran
1,90971E+16;2,41166E+14;1,24897E+16;1,88905E+14;2,26197E+12;1,32557E+15;1,49666E+16;1,32848E+13;3,72625E+15;-3,80382E+14;1950806032;8,00668E+15;8,45073E+15;8,23527E+13;2,93548E+16;-8,3585E+13;30691314295;4,31491E+13;rip_pend_gran
5,53618E+16;7,35116E+13;2,28853E+15;-4,43739E+14;1,82613E+11;1,40179E+15;3,43366E+16;5,96888E+13;4,34798E+15;-2,952E+14;9195833398;1,53804E+15;1,57735E+16;1,75322E+13;3,25284E+16;-3,24509E+14;2257377704;7,32581E+15;rip_pend_gran
1,59197E+15;1,20387E+13;3,06956E+15;-2,485E+14;16740661567;7,27264E+15;2,10055E+15;1,80315E+14;8,49921E+14;2,8214E+14;1,10504E+12;4,55281E+14;4,52688E+15;4,12678E+13;5,21456E+15;6,94792E+13;5718501483;2,2427E+14;rip_pend_gran
5,32884E+15;7,46444E+13;2,72165E+15;-5,07169E+14;1,9522E+11;1,41784E+15;4,46335E+15;4,02332E+13;5,6015E+15;-2,51218E+14;5652471016;1,78178E+15;1,73357E+16;1,89494E+13;2,3159E+15;-3,41658E+13;2530864249;6,07329E+15;rip_pend_gran
1,81658E+15;2,46229E+14;1,20541E+16;2,04887E+14;2,22457E+12;1,23662E+15;1,54838E+16;1,10124E+12;3,43632E+16;-2,71882E+14;1608872137;7,55586E+15;4,91664E+14;1,20143E+14;1,49465E+16;-8,47664E+14;4,22334E+11;2,61798E+14;rip_pend_gran
1,58289E+15;1,2125E+13;3,11784E+16;-2,76722E+14;17470460298;7,34553E+15;1,70211E+15;1,27774E+14;9,42133E+15;1,8846E+14;71414878947;6,62365E+14;5,32116E+15;4,38698E+13;1,07274E+15;5,17138E+13;7223733055;3,66491E+15;rip_pend_gran
