Freq_adel,PSD_adel,Filename_adel,Freq_atr,PSD_atr,Filename_atr
31.52996748,6.52E-05,arepas_circulo,31.06737243,2.20E-05,arepas_circulo
35.47121341,5.74E-05,arepas_circulo,34.95079398,1.58E-05,arepas_circulo
39.41245935,4.67E-05,arepas_circulo,38.83421553,1.07E-05,arepas_circulo
43.35370528,4.01E-05,arepas_circulo,42.71763709,8.27E-06,arepas_circulo
47.29495121,2.89E-05,arepas_circulo,46.60105864,6.66E-06,arepas_circulo
51.23619715,2.23E-05,arepas_circulo,50.48448019,6.93E-06,arepas_circulo
55.17744308,1.74E-05,arepas_circulo,54.36790175,1.15E-05,arepas_circulo
59.11868902,2.29E-05,arepas_circulo,58.2513233,3.91E-05,arepas_circulo
63.05993495,4.25E-05,arepas_circulo,62.13474485,0.000154973,arepas_circulo
67.00118089,8.75E-05,arepas_circulo,66.01816641,0.000175476,arepas_circulo
70.94242682,0.000161786,arepas_circulo,69.90158796,0.000105997,arepas_circulo
74.88367276,0.000186097,arepas_circulo,73.78500951,5.11E-05,arepas_circulo
78.82491869,0.000114651,arepas_circulo,77.66843107,3.51E-05,arepas_circulo
82.76616462,6.25E-05,arepas_circulo,81.55185262,2.58E-05,arepas_circulo
86.70741056,4.13E-05,arepas_circulo,85.43527417,1.70E-05,arepas_circulo
90.64865649,3.25E-05,arepas_circulo,89.31869573,1.09E-05,arepas_circulo
94.58990243,2.99E-05,arepas_circulo,93.20211728,6.17E-06,arepas_circulo
98.53114836,2.61E-05,arepas_circulo,97.08553883,5.03E-06,arepas_circulo
102.4723943,2.11E-05,arepas_circulo,100.9689604,4.50E-06,arepas_circulo
106.4136402,2.16E-05,arepas_circulo,104.8523819,3.36E-06,arepas_circulo
110.3548862,2.09E-05,arepas_circulo,108.7358035,3.37E-06,arepas_circulo
114.2961321,2.32E-05,arepas_circulo,112.619225,3.35E-06,arepas_circulo
118.237378,2.78E-05,arepas_circulo,116.5026466,3.56E-06,arepas_circulo
122.178624,2.03E-05,arepas_circulo,120.3860682,4.67E-06,arepas_circulo
126.1198699,1.02E-05,arepas_circulo,124.2694897,6.21E-06,arepas_circulo
130.0611158,6.73E-06,arepas_circulo,128.1529113,7.02E-06,arepas_circulo
134.0023618,6.65E-06,arepas_circulo,132.0363328,8.62E-06,arepas_circulo
137.9436077,9.84E-06,arepas_circulo,135.9197544,1.50E-05,arepas_circulo
141.8848536,8.76E-06,arepas_circulo,139.8031759,1.89E-05,arepas_circulo
145.8260996,9.00E-06,arepas_circulo,143.6865975,2.16E-05,arepas_circulo
149.7673455,9.01E-06,arepas_circulo,147.570019,2.32E-05,arepas_circulo
153.7085914,8.26E-06,arepas_circulo,151.4534406,2.09E-05,arepas_circulo
157.6498374,7.89E-06,arepas_circulo,155.3368621,1.60E-05,arepas_circulo
161.5910833,7.75E-06,arepas_circulo,159.2202837,1.36E-05,arepas_circulo
165.5323292,8.59E-06,arepas_circulo,163.1037052,1.49E-05,arepas_circulo
169.4735752,8.76E-06,arepas_circulo,166.9871268,1.05E-05,arepas_circulo
173.4148211,8.53E-06,arepas_circulo,170.8705483,8.86E-06,arepas_circulo
177.3560671,8.26E-06,arepas_circulo,174.7539699,6.52E-06,arepas_circulo
181.297313,7.61E-06,arepas_circulo,178.6373915,5.78E-06,arepas_circulo
185.2385589,6.39E-06,arepas_circulo,182.520813,5.68E-06,arepas_circulo
189.1798049,6.79E-06,arepas_circulo,186.4042346,6.48E-06,arepas_circulo
193.1210508,5.41E-06,arepas_circulo,190.2876561,6.53E-06,arepas_circulo
197.0622967,4.38E-06,arepas_circulo,194.1710777,5.67E-06,arepas_circulo
201.0035427,3.74E-06,arepas_circulo,198.0544992,4.55E-06,arepas_circulo
204.9447886,3.29E-06,arepas_circulo,201.9379208,5.06E-06,arepas_circulo
208.8860345,2.82E-06,arepas_circulo,205.8213423,4.75E-06,arepas_circulo
212.8272805,2.13E-06,arepas_circulo,209.7047639,5.03E-06,arepas_circulo
216.7685264,2.38E-06,arepas_circulo,213.5881854,4.32E-06,arepas_circulo
220.7097723,2.47E-06,arepas_circulo,217.471607,3.36E-06,arepas_circulo
224.6510183,1.95E-06,arepas_circulo,221.3550285,2.63E-06,arepas_circulo
228.5922642,2.19E-06,arepas_circulo,225.2384501,2.20E-06,arepas_circulo
232.5335101,2.94E-06,arepas_circulo,229.1218716,1.79E-06,arepas_circulo
236.4747561,3.48E-06,arepas_circulo,233.0052932,1.43E-06,arepas_circulo
240.416002,2.92E-06,arepas_circulo,236.8887148,1.32E-06,arepas_circulo
244.3572479,2.74E-06,arepas_circulo,240.7721363,1.28E-06,arepas_circulo
0,4.57E-19,arepas_recto,0,4.26E-19,arepas_recto
3.952590482,0.005066145,arepas_recto,3.88364967,0.001462117,arepas_recto
7.905180964,0.006921171,arepas_recto,7.76729934,0.000873229,arepas_recto
11.85777145,0.005089955,arepas_recto,11.65094901,0.001794328,arepas_recto
15.81036193,0.003105118,arepas_recto,15.53459868,0.00195331,arepas_recto
19.76295241,0.00196538,arepas_recto,19.41824835,0.001513668,arepas_recto
23.71554289,0.001607862,arepas_recto,23.30189802,0.001182075,arepas_recto
27.66813337,0.00222826,arepas_recto,27.18554769,0.001039123,arepas_recto
31.62072386,0.001647621,arepas_recto,31.06919736,0.000911231,arepas_recto
35.57331434,0.00092446,arepas_recto,34.95284703,0.00061779,arepas_recto
39.52590482,0.000549032,arepas_recto,38.8364967,0.000507543,arepas_recto
43.4784953,0.000313222,arepas_recto,42.72014637,0.000359271,arepas_recto
47.43108578,0.000192003,arepas_recto,46.60379604,0.000265167,arepas_recto
51.38367626,0.000120515,arepas_recto,50.48744571,0.000178614,arepas_recto
55.33626675,9.73E-05,arepas_recto,54.37109538,0.000115141,arepas_recto
59.28885723,7.49E-05,arepas_recto,58.25474505,7.46E-05,arepas_recto
63.24144771,5.90E-05,arepas_recto,62.13839472,6.00E-05,arepas_recto
67.19403819,4.65E-05,arepas_recto,66.02204439,4.34E-05,arepas_recto
71.14662867,4.14E-05,arepas_recto,69.90569406,3.13E-05,arepas_recto
75.09921916,3.55E-05,arepas_recto,73.78934373,2.46E-05,arepas_recto
79.05180964,3.03E-05,arepas_recto,77.6729934,1.66E-05,arepas_recto
83.00440012,2.18E-05,arepas_recto,81.55664307,1.33E-05,arepas_recto
86.9569906,2.10E-05,arepas_recto,85.44029274,1.17E-05,arepas_recto
90.90958108,1.60E-05,arepas_recto,89.32394241,9.33E-06,arepas_recto
94.86217157,1.51E-05,arepas_recto,93.20759208,8.49E-06,arepas_recto
98.81476205,1.32E-05,arepas_recto,97.09124175,7.32E-06,arepas_recto
102.7673525,1.13E-05,arepas_recto,100.9748914,6.13E-06,arepas_recto
106.719943,9.58E-06,arepas_recto,104.8585411,6.42E-06,arepas_recto
110.6725335,8.86E-06,arepas_recto,108.7421908,5.94E-06,arepas_recto
114.625124,7.25E-06,arepas_recto,112.6258404,5.97E-06,arepas_recto
118.5777145,7.80E-06,arepas_recto,116.5094901,4.96E-06,arepas_recto
122.5303049,7.69E-06,arepas_recto,120.3931398,4.59E-06,arepas_recto
126.4828954,7.73E-06,arepas_recto,124.2767894,4.26E-06,arepas_recto
130.4354859,7.00E-06,arepas_recto,128.1604391,4.42E-06,arepas_recto
134.3880764,6.09E-06,arepas_recto,132.0440888,3.72E-06,arepas_recto
138.3406669,5.66E-06,arepas_recto,135.9277384,3.71E-06,arepas_recto
142.2932573,5.83E-06,arepas_recto,139.8113881,3.49E-06,arepas_recto
146.2458478,5.73E-06,arepas_recto,143.6950378,3.82E-06,arepas_recto
150.1984383,6.09E-06,arepas_recto,147.5786875,3.93E-06,arepas_recto
154.1510288,5.82E-06,arepas_recto,151.4623371,4.46E-06,arepas_recto
158.1036193,5.96E-06,arepas_recto,155.3459868,5.47E-06,arepas_recto
162.0562098,6.16E-06,arepas_recto,159.2296365,6.85E-06,arepas_recto
166.0088002,6.15E-06,arepas_recto,163.1132861,5.99E-06,arepas_recto
169.9613907,5.45E-06,arepas_recto,166.9969358,8.34E-06,arepas_recto
173.9139812,4.54E-06,arepas_recto,170.8805855,7.77E-06,arepas_recto
177.8665717,4.13E-06,arepas_recto,174.7642351,9.13E-06,arepas_recto
181.8191622,3.98E-06,arepas_recto,178.6478848,1.07E-05,arepas_recto
185.7717526,3.82E-06,arepas_recto,182.5315345,1.48E-05,arepas_recto
189.7243431,3.33E-06,arepas_recto,186.4151842,1.70E-05,arepas_recto
193.6769336,3.16E-06,arepas_recto,190.2988338,2.14E-05,arepas_recto
197.6295241,2.77E-06,arepas_recto,194.1824835,1.65E-05,arepas_recto
201.5821146,3.37E-06,arepas_recto,198.0661332,1.11E-05,arepas_recto
205.5347051,3.44E-06,arepas_recto,201.9497828,8.02E-06,arepas_recto
209.4872955,3.98E-06,arepas_recto,205.8334325,7.89E-06,arepas_recto
213.439886,3.80E-06,arepas_recto,209.7170822,5.83E-06,arepas_recto
217.3924765,3.41E-06,arepas_recto,213.6007318,4.15E-06,arepas_recto
221.345067,4.75E-06,arepas_recto,217.4843815,3.47E-06,arepas_recto
225.2976575,4.93E-06,arepas_recto,221.3680312,2.70E-06,arepas_recto
229.2502479,4.34E-06,arepas_recto,225.2516808,2.27E-06,arepas_recto
233.2028384,3.91E-06,arepas_recto,229.1353305,2.30E-06,arepas_recto
237.1554289,3.64E-06,arepas_recto,233.0189802,2.06E-06,arepas_recto
241.1080194,3.62E-06,arepas_recto,236.9026299,2.16E-06,arepas_recto
245.0606099,3.71E-06,arepas_recto,240.7862795,2.25E-06,arepas_recto
0,3.45E-20,arepas_recto,0,4.75E-20,arepas_recto
3.952590482,0.001623965,arepas_recto,3.88364967,0.001790052,arepas_recto
7.905180964,0.000703818,arepas_recto,7.76729934,0.000690794,arepas_recto
11.85777145,0.000634173,arepas_recto,11.65094901,0.000645626,arepas_recto
15.81036193,0.000533749,arepas_recto,15.53459868,0.000493579,arepas_recto
19.76295241,0.00069188,arepas_recto,19.41824835,0.00044947,arepas_recto
23.71554289,0.001296981,arepas_recto,23.30189802,0.0007391,arepas_recto
27.66813337,0.000675839,arepas_recto,27.18554769,0.000624012,arepas_recto
31.62072386,0.000216621,arepas_recto,31.06919736,0.000323767,arepas_recto
35.57331434,8.48E-05,arepas_recto,34.95284703,0.000172761,arepas_recto
39.52590482,5.09E-05,arepas_recto,38.8364967,0.000130044,arepas_recto
43.4784953,3.76E-05,arepas_recto,42.72014637,0.000107283,arepas_recto
47.43108578,2.61E-05,arepas_recto,46.60379604,8.42E-05,arepas_recto
51.38367626,2.13E-05,arepas_recto,50.48744571,8.88E-05,arepas_recto
55.33626675,1.69E-05,arepas_recto,54.37109538,7.49E-05,arepas_recto
59.28885723,1.91E-05,arepas_recto,58.25474505,5.46E-05,arepas_recto
63.24144771,2.05E-05,arepas_recto,62.13839472,5.39E-05,arepas_recto
